Arrangement Number,Country Name,Country Code,Arrangement Type,Approval Date,Approval Year,Initial End date,Initial End Year,Duration Of Annual Arrangement From,Duration Of Annual Arrangement To,Program Type,Review Type,Review Sequence,Doc. Num,Facilitycode,Inipgmyr,Fycy,Totalaccess,Precautionary,Purchase,Purchaseschedule,Setaside,Comments,Sort
154,KYRGYZ REPUBLIC                    ,917,ESAF ,7/20/1994,1994,7/19/1997,1997,12/11/1995,12/10/1996,P2,OldBoardApproval,E,EBS /95/194,NO FACILITY,1995,CY,88.15,NULL,Yes,Revised ,NULL,NULL,-1
154,KYRGYZ REPUBLIC                    ,917,ESAF ,7/20/1994,1994,7/19/1997,1997,12/11/1995,12/10/1996,P2,R1,L,EBS//96/109,NO FACILITY,1995,CY,88.37,NULL,Yes,Revised ,NULL,NULL,1
212,KYRGYZ REPUBLIC                    ,917,ESAF ,7/20/1994,1994,3/26/1998,1998,3/27/1997,3/26/1998,P3,OldBoardApproval,E,EBS/97/43,NO FACILITY,1997,CY,88.15,NULL,Yes,Revised ,NULL,The commitment period of the 3-year ESAF was extended to 3/31/98.,-1
212,KYRGYZ REPUBLIC                    ,917,ESAF ,7/20/1994,1994,3/26/1998,1998,3/27/1997,3/26/1998,P3,R1,L,EBS/91/213,NO FACILITY,1997,CY,88.15,NULL,Yes,Revised ,NULL,The commitment period of the three-year ESAF was extended to 3/31/98.,1
269,KYRGYZ REPUBLIC                    ,917,ESAF ,6/26/1998,1998,6/25/2001,2001,6/26/1998,6/25/1999,P1,OldBoardApproval,E,EBS/98/95,NO FACILITY,1998,CY,64.5,NULL,Yes,Original,NULL,This ESAF follows a previous ESAF that ran from 7/20/94 to 3/26/98.,-1
269,KYRGYZ REPUBLIC                    ,917,ESAF ,6/26/1998,1998,6/25/2001,2001,6/26/1998,6/25/1999,P1,R1,L,EBS/99/14,NO FACILITY,1998,CY,73.38,NULL,Yes,Revised ,NULL,This ESAF follows a previous ESAF that ran from 7/20/94 to 3/26/98.  Access increased from SDR 64.5 mn to SDR 73.38 mn at midterm review of 1st-year arrangement. Purchases rephased. Program in danger of going off track.,1
330,KYRGYZ REPUBLIC                    ,917,PRGF ,6/26/1998,1998,6/25/2001,2001,2/9/2000,2/8/2001,P2,OldBoardApproval,E,EBS/00/11,NO FACILITY,2000,CY,73.38,NULL,Yes,Revised ,NULL,This PRGF follows a previous ESAF that ran from 7/20/94 to 3/26/98. Access increased from SDR 64.5 mn to SDR 73.38 mn at midterm review of 1st-year pgm. Purchases rephased.,-1
330,KYRGYZ REPUBLIC                    ,917,PRGF ,6/26/1998,1998,6/25/2001,2001,2/9/2000,2/8/2001,P2,R1,L,EBS/00/182,NO FACILITY,2000,CY,73.38,NULL,Yes,Revised ,NULL,This PRGF follows a previous ESAF that ran from 7/20/94 to 3/26/98. Access increased from SDR 64.5 mn to SDR 73.38 mn at midterm review of 1st-year pgm. Purchases rephased.,1
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,OldBoardApproval,E,EBS/01/187,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,-1
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,R1,BLANK,EBS/02/106,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,1
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,R2,BLANK,EBS/03/13,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,2
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,R3,BLANK,EBS/03/95,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,3
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,R4,BLANK,EBS/03/172,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,4
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,12/5/2004,2004,NULL,NULL,P1,R5,BLANK,EBS/04/81,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,NULL,5
362,KYRGYZ REPUBLIC                    ,917,PRGF ,12/6/2001,2001,4/5/2005,2005,NULL,NULL,P1,R6,L,EBS/05/22,NO FACILITY,2001,CY,73.4,NULL,Yes,Original,NULL,"On 2/10/05, the Executive Board extended the three-year PRGF arrangement until 4/5/05 to enable completion of the sixth review.",6
17,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,6/3/1996,1996,6/4/1993,6/3/1994,P1,OldBoardApproval,E,EBS /93/ 68,NO FACILITY,1993,CY,35.196,NULL,Yes,Original,NULL,"For fiscal data: PRE-92 FY=CY , then FY1993=October 1992 -September 1993.",-1
17,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,6/3/1996,1996,6/4/1993,6/3/1994,P1,OC  ,L,EBS /95/  3,NO FACILITY,1993,CY,35.2,NULL,Yes,Original,NULL,"For fiscal data: pre-92 FY=CY, then FY1993 = October 1992 - September 1993.",0
17,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,6/3/1996,1996,6/4/1993,6/3/1994,P1,R1,BLANK,EBS /94/  2,NO FACILITY,1993,CY,35.2,NULL,Yes,Original,NULL,"For fiscal data: pre-92 FY=CY, then FY1993 = October 1992 - September 1993.",1
116,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,6/3/1996,1996,1/25/1995,1/24/1996,P2,OldBoardApproval,E,EBS /95/3,NO FACILITY,1995,CY,35.19,NULL,Yes,Revised ,NULL,"Fiscal data on FY basis: FY1994 = Oct 94 - Sept 95. After delays in fulfilling prior actions for ESAF II (originally planned for 1/1/94-12/31/94) prog. pd was shifted to a fiscal year basis, 10/1/94-9/30/95. The 2nd ann.arr. was approved on 1/25/95.",-1
116,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,6/3/1996,1996,1/25/1995,1/24/1996,P2,R1,L,EBS/95/176,NO FACILITY,1995,CY,35.19,NULL,Yes,Original,NULL,NULL,1
193,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,5/7/1997,1997,5/8/1996,5/7/1997,P3,OldBoardApproval,E,EBS/96/63,NO FACILITY,1996,CY,35.19,NULL,Yes,Original,NULL,Third annual ESAF involved and extension of the arrangement to 5/7/97.,-1
193,LAO PEOPLE'S DEM. REP.             ,544,ESAF ,6/4/1993,1993,5/7/1997,1997,5/8/1996,5/7/1997,P3,R1,L,EBS/97/1,NO FACILITY,1996,CY,35.19,NULL,Yes,Revised ,NULL,After delays in fulfilling prior actions for 2nd ESAF program postponed; 2nd annual arrangement was approved on 1/25/95. The third annual arrangement involved an extension of the ESAF to 5/7/97.,1
345,LAO PEOPLE'S DEM. REP.             ,544,PRGF ,4/25/2001,2001,4/24/2004,2004,4/25/2001,4/25/2002,P1,OldBoardApproval,E,EBS/01/53,NO FACILITY,2001,CY,31.7,NULL,Yes,Original,NULL,NULL,-1
345,LAO PEOPLE'S DEM. REP.             ,544,PRGF ,4/25/2001,2001,4/24/2004,2004,4/25/2001,4/25/2002,P1,R1,BLANK,EBS/02/23,NO FACILITY,2001,CY,31.7,NULL,Yes,Original,NULL,NULL,1
345,LAO PEOPLE'S DEM. REP.             ,544,PRGF ,4/25/2001,2001,4/24/2004,2004,4/25/2001,4/25/2002,P1,R2,BLANK,EBS/02/129,NO FACILITY,2001,CY,31.7,NULL,Yes,Original,NULL,NULL,2
345,LAO PEOPLE'S DEM. REP.             ,544,PRGF ,4/25/2001,2001,4/24/2004,2004,NULL,NULL,P1,R3,L,EBS/03/127,NO FACILITY,2001,CY,31.7,NULL,Yes,Revised ,NULL,"3rd review delayed to take corrective measures for the misreporting of external debt and the resulting non-complying disbursement. Program extended for the period of one year from 4/24/2004 to 4/25/2005.    As of 1/12/2005, policy slippages in a few key areas have prevented the coumpletion of the fourth review.",3
18,LATVIA                             ,941,SBA  ,12/15/1993,1993,3/14/1995,1995,12/15/1993,12/14/1994,P1,OldBoardApproval,E,EBS/93/186,STF,1993,CY,22.875,NULL,Yes,Original,NULL,Completion of 1st review and observance of end-March 94 p.c. are conditions for 2nd purchase (SDR 22.875) under S.T.F.,-1
18,LATVIA                             ,941,SBA  ,12/15/1993,1993,3/14/1995,1995,12/15/1993,12/14/1994,P1,OC  ,L,EBS/95/53,STF,1994,CY,22.88,NULL,Yes,Original,NULL,NULL,0
18,LATVIA                             ,941,SBA  ,12/15/1993,1993,3/14/1995,1995,12/15/1993,12/14/1994,P1,R1,BLANK,EBS/94/133,STF,1994,CY,22.88,NULL,Yes,Original,NULL,"Purchase in 7/94 combines scheduled, 2nd purchase contingent on 12/93 p.c, and 3rd purchase subject to completion of review and observance of 6/94 p.c.  Requirement of observance of 6/94 p.c. waived.",1
18,LATVIA                             ,941,SBA  ,12/15/1993,1993,3/14/1995,1995,12/15/1993,12/14/1994,P1,R2,BLANK,EBS/94/231,STF,1994,CY,22.88,NULL,Yes,Original,NULL,NULL,2
71,LATVIA                             ,941,SBA  ,4/21/1995,1995,5/20/1996,1996,4/21/1995,5/20/1996,P1,OldBoardApproval,E,EBS /95/53,NO FACILITY,1995,CY,27.45,NULL,No ,Original,NULL,NULL,-1
71,LATVIA                             ,941,SBA  ,4/21/1995,1995,5/20/1996,1996,4/21/1995,5/20/1996,P1,OC  ,L,EBS /95/163,NO FACILITY,1995,CY,27.45,NULL,No ,Original,NULL,No pruchases made in light of comfortable level of reserves.,0
175,LATVIA                             ,941,SBA  ,5/24/1996,1996,8/23/1997,1997,1/1/1996,12/31/1996,P1,OldBoardApproval,E,EBS /96/ 72,NO FACILITY,1996,CY,30,NULL,No ,Original,NULL,NULL,-1
175,LATVIA                             ,941,SBA  ,5/24/1996,1996,8/23/1997,1997,NULL,NULL,P1,OC  ,L,EBS/97/174,NO FACILITY,1996,CY,30,NULL,No ,Original,NULL,Precautionary program. No purchases made.,0
175,LATVIA                             ,941,SBA  ,5/24/1996,1996,8/23/1997,1997,NULL,NULL,P1,R1,BLANK,EBS/96/168,NO FACILITY,1996,CY,30,NULL,No ,Original,NULL,NULL,1
175,LATVIA                             ,941,SBA  ,5/24/1996,1996,8/23/1997,1997,NULL,NULL,P1,R2,BLANK,EBS/97/77,NO FACILITY,1996,CY,30,NULL,No ,Original,NULL,NULL,2
252,LATVIA                             ,941,SBA  ,10/10/1997,1997,4/9/1999,1999,NULL,NULL,P1,OldBoardApproval,E,EBS/97/174,NO FACILITY,1997,CY,33,NULL,No ,Original,NULL,NULL,-1
252,LATVIA                             ,941,SBA  ,10/10/1997,1997,4/9/1999,1999,NULL,NULL,P1,R1,BLANK,EBS/98/42,NO FACILITY,1997,CY,33,NULL,No ,Original,NULL,Program is precautionary and no drawings to date.,1
252,LATVIA                             ,941,SBA  ,10/10/1997,1997,4/9/1999,1999,NULL,NULL,P1,R2,L,EBS/98/171,NO FACILITY,1997,CY,33,NULL,No ,Original,NULL,Program is precautionary and no drawings to date.,2
321,LATVIA                             ,941,SBA  ,12/10/1999,1999,4/9/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/99/202,NO FACILITY,1999,CY,33,NULL,No ,Original,NULL,NULL,-1
321,LATVIA                             ,941,SBA  ,12/10/1999,1999,4/9/2001,2001,NULL,NULL,P1,R1,L,EBS/00/109,NO FACILITY,1999,CY,33,NULL,No ,Original,NULL,Second review never took place--replaced with 20-month SBA approved on 4/20/01.,1
400,LATVIA                             ,941,SBA  ,4/20/2001,2001,12/19/2002,2002,NULL,NULL,P1,OldBoardApproval,E,EBS/01/44,NO FACILITY,2001,CY,33,NULL,No ,Original,NULL,Precautionary arrangement.,-1
400,LATVIA                             ,941,SBA  ,4/20/2001,2001,12/19/2002,2002,NULL,NULL,P1,R1,BLANK,EBS/02/118,NO FACILITY,2001,CY,33,NULL,No ,Original,NULL,Precautionary arrangement.  A mission in October-November 2001 did not complete discussions for the 1st review.  The staff felt that the deficit of 2 3/4 percent of GDP in the 2002 budget would significantly loosen fiscal policy.,1
400,LATVIA                             ,941,SBA  ,4/20/2001,2001,12/19/2002,2002,NULL,NULL,P1,R2,L,EBS/02/118,NO FACILITY,2001,CY,33,NULL,No ,Original,NULL,Precautionary arrangement.  A mission in October-November 2001 did not complete discussions for the 1st review.  The staff felt that the deficit of 2 3/4 percent of GDP in the 2002 budget would significantly loosen fiscal policy.,2
98,LESOTHO                            ,666,SBA  ,7/31/1995,1995,6/30/1996,1996,7/31/1995,7/30/1996,P1,OldBoardApproval,E,EBS /95/116,NO FACILITY,1995,FY,7.17,NULL,No ,Original,NULL,"All data are on a FY basis--4/1-3/31. e.g., 1995=FY95/96, 4/1/95-3/31/96. Ratios are given in terms of GNP. GNP not GDP is reported.",-1
98,LESOTHO                            ,666,SBA  ,7/31/1995,1995,6/30/1996,1996,7/31/1995,7/30/1996,P1,OC  ,L,EBS /96/145,NO FACILITY,1995,FY,7.17,NULL,No ,Original,NULL,"All data are on a FY basis--4/1-3/31. e.g., 1995=FY95/96, 4/1/95-3/31/96. Ratios are given in terms of GNP. GNP not GDP is reported.",0
165,LESOTHO                            ,666,SBA  ,9/23/1994,1994,7/31/1995,1995,NULL,NULL,P1,OldBoardApproval,E,EBS /94/172,NO FACILITY,1994,FY,8.37,NULL,No ,Original,NULL,FY1994 = April 1994 - March 1993.,-1
165,LESOTHO                            ,666,SBA  ,9/23/1994,1994,7/31/1995,1995,NULL,NULL,P1,OC  ,L,EBS/95/116,NO FACILITY,1994,FY,8.37,NULL,No ,Original,NULL,A second stand-by was approved on 7/31/95 to follow this one.,0
165,LESOTHO                            ,666,SBA  ,9/23/1994,1994,7/31/1995,1995,NULL,NULL,P1,R1,BLANK,EBS /95/ 15,NO FACILITY,1994,FY,8.37,NULL,No ,Original,NULL,FY1994 = April 1994 - March 1995.,1
221,LESOTHO                            ,666,SBA  ,9/23/1996,1996,9/22/1997,1997,NULL,NULL,P1,OldBoardApproval,L,EBS/96/145,NO FACILITY,1997,FY,7.17,NULL,No ,Original,NULL,Figures in Table 5 are as percent of GNP.,-1
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,3/8/2004,2004,NULL,NULL,P1,OldBoardApproval,E,EBS/01/18,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,NULL,-1
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,3/8/2004,2004,NULL,NULL,P1,R1,BLANK,EBS/01/115,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,NULL,1
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,3/8/2004,2004,NULL,NULL,P1,R2,BLANK,EBS/02/38,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,General elections scheduled for May 2002 delayed third review from July to September 2002.,2
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,3/8/2004,2004,NULL,NULL,P1,R3,BLANK,EBS/02/169,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,"General elections scheduled for May 2002 delayed third review from July to September 2002.  During completion of third review, the Executive Board granted waivers of two performance criteria related to the ceiling on domestic financing and fiscal expenditure monitoring.",3
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,3/8/2004,2004,NULL,NULL,P1,R4,BLANK,EBS/03/66,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,"General elections scheduled for May 2002 delayed third review from July to September 2002.  During completion of third review, the Executive Board granted waivers of two performance criteria related to the ceiling on domestic financing and fiscal expenditure monitoring.",4
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,6/30/2004,2004,NULL,NULL,P1,R5,BLANK,EBS/04/1,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,"General elections scheduled for May 2002 delayed third review from July to September 2002.  During completion of third review, the Executive Board granted waivers of two performance criteria related to the ceiling on domestic financing and fiscal expenditure monitoring.  At time of fifth review, on January 21, 2004, the arrangement was extended through June 30, 2004 to allow more time to implement the planned structural reforms.",5
354,LESOTHO                            ,666,PRGF ,3/9/2001,2001,6/30/2004,2004,NULL,NULL,P1,R6,L,EBS/04/104,NO FACILITY,2001,FY,24.5,NULL,Yes,Original,NULL,"General elections scheduled for May 2002 delayed third review from July to September 2002.  During completion of third review, the Executive Board granted waivers of two performance criteria related to the ceiling on domestic financing and fiscal expenditure monitoring.  At time of fifth review, on January 21, 2004, the arrangement was extended through June 30, 2004 to allow more time to implement the planned structural reforms.",6
19,LITHUANIA                          ,946,SBA  ,10/22/1993,1993,3/21/1995,1995,10/22/1993,10/21/1994,P1,OldBoardApproval,E,EBS /93/164,STF,1993,CY,25.88,NULL,Yes,Original,NULL,CPI data is annual average.,-1
19,LITHUANIA                          ,946,SBA  ,10/22/1993,1993,3/21/1995,1995,10/22/1993,3/21/1995,P1,OC  ,L,EBS/94/199,STF,1993,CY,25.875,NULL,Yes,Original,NULL,"SBA superceded by EFF on 10/94. 2 STF purch. of SDR 25.9 mn each, on prog. approval & after 1st review/observance of 12/93 PCs. CPI data annual average.",0
19,LITHUANIA                          ,946,SBA  ,10/22/1993,1993,3/21/1995,1995,10/22/1993,3/21/1995,P1,R1,BLANK,EBS /94/60,STF,1993,CY,25.875,NULL,Yes,Original,NULL,Also 2 STF purchases of SDR 25.875 million; each on approval of STF/SBA and on completion of 1st review and obs. of end-93 p.c. CPI data is annual average.,1
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,10/24/1994,10/23/1995,P1,OldBoardApproval,E,EBS /94/199,STF,1995,CY,134.55,NULL,Yes,Original,NULL,"Authorities did not request 2nd purchase as scheduled, because of non-observance of end-Dec. 94 p.c. on general govt. financial deficit.  CPI data is annual average.",-1
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,NULL,NULL,P1,OC  ,L,SM/98/150,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,"1) Authorities did not request 2nd purchase on shcedule (noncompliance 12/94 performance criteria on gen. govt fin. deficit). 2) Authorities did not request 6th purchase (concompliance, 12/95 perfromance criteria on gen govt fin deficit and net int reserves,BOL). 3) Authorities did not request 9th purchase on schedule (no Board review).",0
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,10/24/1994,10/23/1995,P1,R1,BLANK,EBS /95/106,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,"Authorities did not request 2nd purchase as scheduled, because of nonobservance of end-Dec. 94 p.c. as general govt. financial deficit.  CPI data is ann. average.",1
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,10/24/1994,10/23/1995,P1,R2,BLANK,EBS /95/199,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,Authorities didn't request 2nd scheduled purchase b/c of noncompliance with end-Dec. 94 p.c. on general govt. financial deficit.  CPI data (97-99) is annual average.  Discrepancy between components and overall balance due to unidentified expend/revenuues.,2
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,NULL,NULL,P1,R3,BLANK,EBS//96//94,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,2nd purchase not requested on schedule because of noncompliance with 12/31/94 perf. criteria (gen. govt financial deficit); 6th purchase not requested (noncompliance with 12/31/95 perf. criteria for gen. govt financial deficit and NIR of Bank of Lith).,3
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,NULL,NULL,P1,R4,BLANK,EBS/97/41,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,1) Authorities did not request 2nd purchase on schedule (noncompliance with 12/94 perf. criterion on general govt fin. deficit. 2) Authorities did not request 6th purchase (noncompliance with 12/95 perf. criteria on general govt fin. deficit and net int. reserves of BOL. 3) Authorities did not request 9th purchase on schedule (no Board review).,4
121,LITHUANIA                          ,946,EFF  ,10/24/1994,1994,10/23/1997,1997,NULL,NULL,P1,R5,BLANK,EBS/97/103,NO FACILITY,1995,CY,134.55,NULL,Yes,Original,NULL,"1) Authorities did not request 2nd purchase on shcedule (noncompliance 12/94 performance criteria on gen. govt fin. deficit). 2) Authorities did not request 6th purchase (concompliance, 12/95 perfromance criteria on gen govt fin deficit and net int reserves,BOL). 3) Authorities did not request 9th purchase on schedule (no Board review).",5
333,LITHUANIA                          ,946,SBA  ,3/8/2000,2000,6/7/2001,2001,NULL,NULL,P1,OldBoardApproval,E,EBS/00/28,NO FACILITY,2000,CY,61.8,NULL,No ,Original,NULL,NULL,-1
333,LITHUANIA                          ,946,SBA  ,3/8/2000,2000,6/7/2001,2001,NULL,NULL,P1,OC  ,L,EBS/01/51,NO FACILITY,2000,CY,61.8,NULL,No ,Original,NULL,Precautionary program.,0
333,LITHUANIA                          ,946,SBA  ,3/8/2000,2000,6/7/2001,2001,NULL,NULL,P1,R1,BLANK,EBS/00/286,NO FACILITY,2000,CY,61.8,NULL,No ,Original,NULL,Precautionary program.,1
333,LITHUANIA                          ,946,SBA  ,3/8/2000,2000,6/7/2001,2001,NULL,NULL,P1,R2,BLANK,EBS/01/51,NO FACILITY,2000,CY,61.8,NULL,No ,Original,NULL,Precautionary program.,2
404,LITHUANIA                          ,946,SBA  ,8/30/2001,2001,3/29/2003,2003,NULL,NULL,P1,OldBoardApproval,E,EBS/01/135,NO FACILITY,2001,CY,86.52,NULL,No ,Original,NULL,Authorities indicated that they intend to treat the SBA as precautionary.,-1
404,LITHUANIA                          ,946,SBA  ,8/30/2001,2001,3/29/2003,2003,NULL,NULL,P1,R1,BLANK,EBS/01/211,NO FACILITY,2001,CY,86.52,NULL,No ,Original,NULL,Authorities indicated that they intend to treat the SBA as precautionary.,1
404,LITHUANIA                          ,946,SBA  ,8/30/2001,2001,3/29/2003,2003,NULL,NULL,P1,R2,BLANK,EBS/02/105,NO FACILITY,2001,CY,86.52,NULL,No ,Original,NULL,Authorities indicated that they intend to treat the SBA as precautionary.,2
404,LITHUANIA                          ,946,SBA  ,8/30/2001,2001,3/29/2003,2003,NULL,NULL,P1,R3,L,EBS/03/14,NO FACILITY,2001,CY,86.52,NULL,No ,Original,NULL,Authorities indicated that they intend to treat the SBA as precautionary.,3
110,MACEDONIA (FYR)                    ,962,SBA  ,5/5/1995,1995,6/5/1996,1996,5/5/1995,6/5/1996,P1,OldBoardApproval,E,EBS /95/67,STF,1995,CY,22.3,NULL,Yes,Original,NULL,"Also, SDR 12.4 million second STF purchase in May 1995. All data relating to GDP is in fact GSP.",-1
110,MACEDONIA (FYR)                    ,962,SBA  ,5/5/1995,1995,6/5/1996,1996,5/5/1995,6/5/1996,P1,OC  ,L,EBS /97/37,NO FACILITY,1995,CY,22.3,NULL,Yes,Original,NULL,The second STF purchase of SDR 12.14 million was made in May 1995.  Figures for GDP are GSP.  Balance of payments data for 1995 on include classification and methodology changes compared with the original program figures.,0
110,MACEDONIA (FYR)                    ,962,SBA  ,5/5/1995,1995,6/5/1996,1996,5/5/1995,6/5/1996,P1,R1,BLANK,EBS /95/175,STF,1995,CY,22.3,NULL,Yes,Original,NULL,The second STF purchase of SDR 12.14 million was made in May 1995.  Figures for GDP are GSP.  Balance of payments data for 1995 on include classification and methodology changes compared with the original program figures.,1
216,MACEDONIA (FYR)                    ,962,ESAF ,4/14/1997,1997,4/10/2000,2000,4/11/1997,4/10/1998,P1,OldBoardApproval,E,EBS/97/37,NO FACILITY,1997,CY,54.56,NULL,Yes,Original,NULL,NULL,-1
216,MACEDONIA (FYR)                    ,962,ESAF ,4/14/1997,1997,4/10/2000,2000,4/11/1997,4/10/1998,P1,R1,L,EBS/97/189,NO FACILITY,1997,CY,54.56,NULL,Yes,Original,NULL,NULL,1
249,MACEDONIA (FYR)                    ,962,ESAF ,4/14/1997,1997,4/10/2000,2000,6/19/1998,6/18/1999,P2,OldBoardApproval,L,EBS/98/91,NO FACILITY,1998,CY,54.56,NULL,Yes,Revised ,NULL,This Enhanced Structural Adjustment Facility (ESAF) went off track in the second half of 1998 mainly because of lack of progress in structural reforms.,-1
373,MACEDONIA (FYR)                    ,962,PRGF ,11/29/2000,2000,11/28/2003,2003,NULL,NULL,P1,OldBoardApproval,L,EBS/00/231,NO FACILITY,2000,CY,10.3,NULL,Yes,Original,NULL,"On 11/29/00 the Executive Board approved: 1) a PRGF (SDR103), and 2) an EFF (SDR24.1).  Program went off track in late December 2000, and was cancelled in early 2001.",-1
395,MACEDONIA (FYR)                    ,962,EFF  ,11/29/2000,2000,11/28/2003,2003,NULL,NULL,P1,OldBoardApproval,L,EBS/00/231,NO FACILITY,2000,CY,24.1,NULL,Yes,Original,NULL,"On 11/29/00 the Executive Board approved: 1) a PRGF (SDR103), and 2) an EFF (SDR24.1).  Program went off track in late December 2000, and was cancelled in early 2001.",-1
433,MACEDONIA (FYR)                    ,962,SBA  ,4/30/2003,2003,6/15/2004,2004,NULL,NULL,P1,OldBoardApproval,E,EBS/03/51,NO FACILITY,2003,CY,20,NULL,Yes,Original,NULL,NULL,-1
433,MACEDONIA (FYR)                    ,962,SBA  ,4/30/2003,2003,6/15/2004,2004,NULL,NULL,P1,R1,BLANK,EBS/03/135,NO FACILITY,2003,CY,20,NULL,Yes,Original,NULL,NULL,1
433,MACEDONIA (FYR)                    ,962,SBA  ,4/30/2003,2003,8/15/2004,2004,NULL,NULL,P1,R2,L,EBS/04/105,NO FACILITY,2003,CY,20,NULL,Yes,Original,NULL,"In June 2004, at the request of the authorities, the SBA arrangement was extended to August 15, 2004 after the accidental death of President Boris Trajkovski earlier in the year.  At P1R2, the authorities have indicated an interest in a successor arrangement.",2
209,MADAGASCAR                         ,674,ESAF ,11/27/1996,1996,11/26/1999,1999,11/27/1996,11/26/1997,P1,OldBoardApproval,E,EBS/96/167,NO FACILITY,1996,CY,81.36,NULL,Yes,Original,NULL,NULL,-1
209,MADAGASCAR                         ,674,ESAF ,11/27/1996,1996,11/26/1999,1999,11/27/1996,11/26/1997,P1,R1,L,EBS/97/159,NO FACILITY,1996,CY,81.36,NULL,Yes,Original,NULL,NULL,1
310,MADAGASCAR                         ,674,ESAF ,11/27/1996,1996,7/27/2000,2000,7/23/1999,7/27/2000,P2,OldBoardApproval,E,EBS/99/116,NO FACILITY,1999,CY,81.36,NULL,Yes,Revised ,NULL,The revised schedule of purchases includes 3 disbursements under 2nd annual arrangement of SDR 13.6 mn each.,-1
310,MADAGASCAR                         ,674,ESAF ,11/27/1996,1996,11/20/2000,2000,7/23/1999,11/30/2000,P2,R1,BLANK,EBS/00/105,NO FACILITY,1999,CY,105.76,NULL,Yes,Revised ,NULL,"The revised schedule of purchases under 2nd annual arrangement includes 1 purchase of SDR 13.6 mn, 2 purchases of 6.8 mn, and augmentation of SDR 24.4 mn with 2nd purchase.",1
310,MADAGASCAR                         ,674,ESAF ,11/27/1996,1996,11/20/2000,2000,7/23/1999,11/30/2000,P2,R2,L,EBS/00/211,NO FACILITY,1999,CY,105.76,NULL,Yes,Revised ,NULL,"The revised schedule of purchases under 2nd annual arrangement includes 1 purchase of SDR 13.6 mn, 2 purchases of 6.8 mn, and augmentation of SDR 24.4 mn with 2nd purchase.",2
359,MADAGASCAR                         ,674,PRGF ,3/1/2001,2001,2/29/2004,2004,3/1/2001,2/28/2002,P1,OldBoardApproval,E,EBS/01/20,NO FACILITY,2001,CY,79.43,NULL,Yes,Original,NULL,NULL,-1
359,MADAGASCAR                         ,674,PRGF ,3/1/2001,2001,2/29/2004,2004,3/1/2002,2/28/2003,P1,R1,BLANK,EBS/01/193,NO FACILITY,2001,CY,79.43,NULL,Yes,Original,NULL, ,1
